Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,52000.000000,52000.000000,51100.000000,51400.000000,44646.410156,8289275
2018-05-25,51000.000000,52800.000000,50800.000000,52700.000000,45775.597656,15207266
2018-05-28,52500.000000,53000.000000,52000.000000,52300.000000,45428.152344,9787820
2018-05-29,52200.000000,52500.000000,51300.000000,51300.000000,44559.550781,8480437
2018-05-30,51300.000000,51500.000000,49100.000000,49500.000000,42996.046875,20498098
2018-05-31,50400.000000,50800.000000,49850.000000,50700.000000,44038.378906,63491109
2018-06-01,50500.000000,51700.000000,49950.000000,51300.000000,44559.550781,13038499
2018-06-04,50800.000000,51200.000000,50700.000000,51100.000000,44385.828125,9767171
2018-06-05,51100.000000,51400.000000,50400.000000,51300.000000,44559.550781,9144100
2018-06-07,51800.000000,51800.000000,50500.000000,50600.000000,43951.523438,13590016
2018-06-08,50200.000000,50400.000000,49600.000000,49650.000000,43126.335938,16951706
2018-06-11,49750.000000,50300.000000,49350.000000,49900.000000,43343.496094,10571312
2018-06-12,49700.000000,49800.000000,49250.000000,49400.000000,42909.191406,12110569
2018-06-14,49000.000000,49000.000000,48200.000000,48200.000000,41866.859375,20971729
2018-06-15,48500.000000,48700.000000,47650.000000,47650.000000,41389.125000,17080892
2018-06-18,47600.000000,47650.000000,46200.000000,46600.000000,40477.089844,16661870
2018-06-19,47200.000000,47350.000000,46500.000000,47000.000000,40824.535156,15217971
2018-06-20,47450.000000,47600.000000,46850.000000,47000.000000,40824.535156,12959316
2018-06-21,47900.000000,47900.000000,47050.000000,47050.000000,40867.960938,10015541
2018-06-22,47000.000000,47250.000000,46200.000000,47250.000000,41041.691406,10298006
2018-06-25,47050.000000,47050.000000,46150.000000,46650.000000,40520.527344,10587711
2018-06-26,45900.000000,47300.000000,45900.000000,47000.000000,40824.535156,11223166
2018-06-27,47450.000000,48500.000000,47000.000000,47950.000000,41649.707031,15274752
2018-06-28,46850.000000,47150.000000,46600.000000,46800.000000,40953.167969,12784800
2018-06-29,46250.000000,47150.000000,46200.000000,46650.000000,40821.894531,14099635
2018-07-02,46500.000000,47150.000000,45500.000000,45550.000000,39859.324219,13112253
2018-07-03,45750.000000,46450.000000,45750.000000,46150.000000,40384.359375,10959655
2018-07-04,46700.000000,47050.000000,46050.000000,46250.000000,40471.875000,8776763
2018-07-05,46100.000000,46550.000000,45600.000000,45950.000000,40209.339844,7039773
2018-07-06,45500.000000,45850.000000,44650.000000,44900.000000,39290.527344,17843706
2018-07-09,45500.000000,46100.000000,45200.000000,45600.000000,39903.074219,11602464
2018-07-10,46200.000000,46550.000000,46100.000000,46300.000000,40515.617188,10528665
2018-07-11,46400.000000,46450.000000,45400.000000,46000.000000,40253.097656,11224077
2018-07-12,45900.000000,46250.000000,45450.000000,45500.000000,39815.570313,11828104
2018-07-13,45800.000000,46500.000000,45750.000000,46500.000000,40690.644531,11543389
2018-07-16,46800.000000,46800.000000,46000.000000,46050.000000,40296.851563,7678719
2018-07-17,46150.000000,46200.000000,45600.000000,45850.000000,40121.839844,8892953
2018-07-18,46700.000000,47200.000000,46450.000000,46550.000000,40734.386719,10952645
2018-07-19,47050.000000,47200.000000,46600.000000,46900.000000,41040.664063,9880128
2018-07-20,47000.000000,47600.000000,46700.000000,47450.000000,41521.945313,10474547
2018-07-23,47100.000000,47200.000000,46150.000000,46500.000000,40690.644531,10823782
2018-07-24,46350.000000,46600.000000,45950.000000,46150.000000,40384.359375,8261363
2018-07-25,46250.000000,46550.000000,45900.000000,46150.000000,40384.359375,7222471
2018-07-26,46100.000000,47000.000000,46000.000000,46900.000000,41040.664063,7374946
2018-07-27,46450.000000,47000.000000,46450.000000,46900.000000,41040.664063,4762460
2018-07-30,46550.000000,46800.000000,46350.000000,46500.000000,40690.644531,5723035
2018-07-31,46200.000000,46450.000000,46000.000000,46250.000000,40471.875000,8033607
2018-08-01,46050.000000,46850.000000,46050.000000,46550.000000,40734.386719,7484499
2018-08-02,46550.000000,46800.000000,45500.000000,45550.000000,39859.324219,8560924
2018-08-03,45850.000000,45900.000000,45450.000000,45750.000000,40034.335938,8274944
2018-08-06,46150.000000,46150.000000,45750.000000,45800.000000,40078.089844,6771979
2018-08-07,46300.000000,46750.000000,45900.000000,46700.000000,40865.652344,9058174
2018-08-08,47000.000000,47000.000000,46550.000000,46800.000000,40953.167969,6429338
2018-08-09,47000.000000,47050.000000,46450.000000,46900.000000,41040.664063,12010886
2018-08-10,46150.000000,46400.000000,44850.000000,45400.000000,39728.058594,16670643
2018-08-13,44950.000000,45100.000000,44650.000000,45050.000000,39421.785156,9803831
2018-08-14,44850.000000,45400.000000,44850.000000,45150.000000,39509.300781,6409259
2018-08-16,43800.000000,44650.000000,43700.000000,44250.000000,38721.734375,10088229
2018-08-17,44050.000000,44400.000000,44050.000000,44100.000000,38590.476563,6808747
2018-08-20,43500.000000,44200.000000,43500.000000,43850.000000,38371.703125,7289124
2018-08-21,43700.000000,44900.000000,43700.000000,44800.000000,39203.015625,9520270
2018-08-22,45150.000000,46200.000000,44900.000000,46100.000000,40340.609375,11641656
2018-08-23,46150.000000,46200.000000,45700.000000,46200.000000,40428.117188,6730918
2018-08-24,45900.000000,46400.000000,45550.000000,46150.000000,40384.359375,6582535
2018-08-27,46100.000000,46550.000000,46000.000000,46300.000000,40515.617188,5263782
2018-08-28,46800.000000,46950.000000,46300.000000,46550.000000,40734.386719,7365976
2018-08-29,46750.000000,46800.000000,46400.000000,46800.000000,40953.167969,5572374
2018-08-30,46950.000000,47950.000000,46700.000000,47650.000000,41696.964844,12193231
2018-08-31,47100.000000,48450.000000,47000.000000,48450.000000,42397.019531,13577454
2018-09-03,48200.000000,48300.000000,47300.000000,47450.000000,41521.945313,8595084
2018-09-04,47550.000000,47800.000000,47200.000000,47650.000000,41696.964844,6791255
2018-09-05,47300.000000,47450.000000,46400.000000,46600.000000,40778.140625,9139998
2018-09-06,46200.000000,46400.000000,45800.000000,46100.000000,40340.609375,9040553
2018-09-07,44500.000000,45200.000000,44400.000000,44900.000000,39290.527344,18285508
2018-09-10,45450.000000,45550.000000,45000.000000,45500.000000,39815.570313,9979838
2018-09-11,45550.000000,45900.000000,45050.000000,45050.000000,39421.785156,9865790
2018-09-12,44900.000000,45100.000000,44500.000000,44550.000000,38984.261719,12995269
2018-09-13,44550.000000,44750.000000,44000.000000,44050.000000,38546.722656,18277942
2018-09-14,45000.000000,45850.000000,44900.000000,45850.000000,40121.839844,12446344
2018-09-17,45550.000000,45800.000000,44900.000000,45150.000000,39509.300781,8123384
2018-09-18,44950.000000,45900.000000,44700.000000,45500.000000,39815.570313,9987090
2018-09-19,46000.000000,46200.000000,45700.000000,46150.000000,40384.359375,9367454
2018-09-20,46850.000000,47600.000000,46400.000000,47250.000000,41346.933594,13536966
2018-09-21,46550.000000,47550.000000,46550.000000,47400.000000,41478.195313,14476906
2018-09-27,46950.000000,47500.000000,46450.000000,47500.000000,41878.472656,15804586
2018-09-28,47250.000000,47250.000000,46300.000000,46450.000000,40952.730469,11270515
2018-10-01,46450.000000,46800.000000,45800.000000,46350.000000,40864.566406,6354983
2018-10-02,46450.000000,46700.000000,45700.000000,45700.000000,40291.488281,6607188
2018-10-04,45150.000000,45600.000000,44700.000000,44700.000000,39409.839844,11865327
2018-10-05,44800.000000,45500.000000,44550.000000,44700.000000,39409.839844,10544165
2018-10-08,44200.000000,45200.000000,44200.000000,44950.000000,39630.253906,6759464
2018-10-10,45250.000000,45500.000000,44500.000000,45300.000000,39938.835938,10341349
2018-10-11,44000.000000,44650.000000,43100.000000,43100.000000,37999.203125,19324537
2018-10-12,43200.000000,44650.000000,43200.000000,44000.000000,38792.683594,12640906
2018-10-15,44050.000000,44050.000000,43350.000000,43800.000000,38616.355469,7434522
2018-10-16,43700.000000,44150.000000,43350.000000,43600.000000,38440.023438,6825677
2018-10-17,44150.000000,44500.000000,44000.000000,44150.000000,38924.933594,8306193
2018-10-18,43950.000000,44450.000000,43700.000000,44050.000000,38836.765625,8347725
2018-10-19,43900.000000,44150.000000,43450.000000,43900.000000,38704.527344,7842520
2018-10-22,43450.000000,43950.000000,43200.000000,43550.000000,38395.949219,8357648
2018-10-23,43300.000000,43450.000000,42550.000000,43050.000000,37955.121094,9531231
2018-10-24,43050.000000,43100.000000,42250.000000,42550.000000,37514.300781,13522825
2018-10-25,40600.000000,41550.000000,40550.000000,41000.000000,36147.730469,19338170
2018-10-26,41100.000000,41300.000000,40400.000000,41000.000000,36147.730469,14413864
2018-10-29,40850.000000,41950.000000,40550.000000,41400.000000,36500.390625,14460521
2018-10-30,41400.000000,43000.000000,41000.000000,42350.000000,37337.957031,14205190
2018-10-31,42900.000000,43350.000000,41700.000000,42400.000000,37382.039063,17621480
2018-11-01,42450.000000,42950.000000,42150.000000,42150.000000,37161.621094,13423132
2018-11-02,43050.000000,44250.000000,42800.000000,44150.000000,38924.933594,16517112
2018-11-05,43750.000000,43800.000000,42900.000000,43800.000000,38616.355469,9426777
2018-11-06,43750.000000,43800.000000,42950.000000,43750.000000,38572.277344,7713625
2018-11-07,43600.000000,44500.000000,43400.000000,44000.000000,38792.683594,11553998
2018-11-08,44900.000000,45050.000000,44050.000000,44050.000000,38836.765625,12617397
2018-11-09,44450.000000,44850.000000,43900.000000,44300.000000,39057.175781,7318500
2018-11-12,43850.000000,45250.000000,43700.000000,45200.000000,39850.667969,8552566
2018-11-13,43900.000000,44500.000000,43400.000000,44500.000000,39233.515625,9311126
2018-11-14,44500.000000,44500.000000,43800.000000,44100.000000,38880.855469,6783344
2018-11-15,44050.000000,44350.000000,43500.000000,44250.000000,39013.105469,5864067
2018-11-16,44600.000000,44750.000000,43700.000000,44000.000000,38792.683594,7777124
2018-11-19,44050.000000,44250.000000,43450.000000,43650.000000,38484.105469,7538720
2018-11-20,42450.000000,43000.000000,42100.000000,42800.000000,37734.710938,9420664
2018-11-21,41800.000000,42300.000000,41800.000000,42100.000000,37117.550781,10769589
2018-11-22,42000.000000,42650.000000,42000.000000,42450.000000,37426.121094,5970796
2018-11-23,42450.000000,42600.000000,41900.000000,42400.000000,37382.039063,5192638
2018-11-26,42150.000000,42800.000000,42100.000000,42600.000000,37558.371094,6613009
2018-11-27,42900.000000,43100.000000,42500.000000,43050.000000,37955.121094,8367091
2018-11-28,42800.000000,43200.000000,42750.000000,43150.000000,38043.285156,6943099
2018-11-29,43850.000000,43850.000000,42900.000000,43150.000000,38043.285156,8473511
2018-11-30,43450.000000,44000.000000,41750.000000,41850.000000,36897.132813,19775519
2018-12-03,42750.000000,43400.000000,42400.000000,43250.000000,38131.445313,12110702
2018-12-04,42650.000000,42900.000000,41900.000000,42150.000000,37161.621094,14347746
2018-12-05,40900.000000,41750.000000,40850.000000,41450.000000,36544.468750,12631983
2018-12-06,40600.000000,41100.000000,40450.000000,40500.000000,35706.898438,14251826
2018-12-07,40900.000000,41400.000000,40850.000000,40950.000000,36103.648438,11433083
2018-12-10,40450.000000,40650.000000,40000.000000,40200.000000,35442.402344,14892263
2018-12-11,40600.000000,40700.000000,40200.000000,40250.000000,35486.484375,10638766
2018-12-12,40250.000000,40700.000000,40150.000000,40450.000000,35662.812500,12024279
2018-12-13,40650.000000,40750.000000,40000.000000,40000.000000,35266.078125,26254646
2018-12-14,40200.000000,40200.000000,38700.000000,38950.000000,34340.343750,19671783
2018-12-17,38650.000000,39600.000000,38650.000000,39150.000000,34516.667969,11532968
2018-12-18,38300.000000,39200.000000,38300.000000,38900.000000,34296.257813,11042101
2018-12-19,38900.000000,39350.000000,38850.000000,39100.000000,34472.582031,9942037
2018-12-20,38600.000000,39100.000000,38500.000000,38650.000000,34075.847656,11937617
2018-12-21,38200.000000,38650.000000,38100.000000,38650.000000,34075.847656,14947080
2018-12-24,38500.000000,39050.000000,38300.000000,38800.000000,34208.089844,9729530
2018-12-26,38400.000000,38750.000000,38300.000000,38350.000000,33811.351563,12707675
2018-12-27,38700.000000,38800.000000,38100.000000,38250.000000,34037.390625,10510643
2018-12-28,38250.000000,38900.000000,38200.000000,38700.000000,34437.816406,9900267
2019-01-02,39400.000000,39400.000000,38550.000000,38750.000000,34482.308594,7847664
2019-01-03,38300.000000,38550.000000,37450.000000,37600.000000,33458.957031,12471493
2019-01-04,37450.000000,37600.000000,36850.000000,37450.000000,33325.488281,14108958
2019-01-07,38000.000000,38900.000000,37800.000000,38750.000000,34482.308594,12748997
2019-01-08,38000.000000,39200.000000,37950.000000,38100.000000,33903.890625,12756554
2019-01-09,38650.000000,39600.000000,38300.000000,39600.000000,35238.699219,17452708
2019-01-10,40000.000000,40150.000000,39600.000000,39800.000000,35416.675781,14731699
2019-01-11,40350.000000,40550.000000,39950.000000,40500.000000,36039.574219,11661063
2019-01-14,40450.000000,40700.000000,39850.000000,40050.000000,35639.140625,11984996
2019-01-15,40050.000000,41100.000000,39850.000000,41100.000000,36573.503906,11492756
